order_id,customer_id,order_date,product,category,quantity,amount,status
1,eAB08E4653ebd90,2024-08-20,Jeans,Clothing,4,741.78,cancelled
2,FDBbdC7DA75a0c6,2025-10-29,SQL Guide,Books,1,2660.38,cancelled
3,cFAc1a9313B4B92,2024-10-06,iPhone,Electronics,1,1575.17,cancelled
4,Cbaf97Db22dB710,2026-03-17,Keyboard,Electronics,1,576.59,created
5,c2c569dB2EC9841,2024-05-08,T-Shirt,Clothing,4,310.84,created
6,31baACdA94f03aF,2025-11-13,SQL Guide,Books,5,847.03,delivered
7,A3f4755e75887f1,2024-12-24,Python Book,Books,5,1793.42,delivered
8,adec99FF9A83eF3,2025-11-06,T-Shirt,Clothing,5,2341.35,created
9,EadbB5c79a1e2Ee,2025-08-06,Jeans,Clothing,2,1021.89,paid
10,a92eDdfd0135Cbc,2025-06-26,T-Shirt,Clothing,2,669.19,delivered
11,B806Ba17d4cC9e4,2024-06-20,Sneakers,Clothing,5,1441.85,delivered
12,5d03eF37EEBF136,2025-07-04,Laptop,Electronics,5,2411.66,paid
13,1b2c3d4A9Aa7CAB,2024-10-22,Monitor,Electronics,5,2780.98,created
14,B2B1561aDCEc9d7,2024-11-19,Sneakers,Clothing,3,1885.77,shipped
15,2F6AB5eEc19dADC,2024-09-18,Data Engineering,Books,4,954.1,delivered
16,8e4eCBa5124c226,2026-02-23,SQL Guide,Books,5,2561.96,shipped
17,e3e6ebd1BDcc7E4,2025-11-11,T-Shirt,Clothing,1,2918.97,cancelled
18,83aDBA066af62E3,2024-10-01,Jeans,Clothing,4,611.54,cancelled
19,CAac2F1fbDcC586,2024-12-14,Python Book,Books,1,929.52,delivered
20,3Cd026bBC729df6,2024-09-27,iPhone,Electronics,1,1180.77,paid
21,D9ddeAdF3d8477b,2025-07-06,Data Engineering,Books,4,1828.09,created
22,E4F9c9fE0a02A8A,2026-03-25,T-Shirt,Clothing,3,2104.41,delivered
23,C9466b7F9249eDF,2025-05-27,Monitor,Electronics,2,521.99,paid
24,bC69AC660AFe6A7,2024-07-02,Python Book,Books,2,223.42,cancelled
25,a3Fe5F07eeCd0Ce,2025-12-24,SQL Guide,Books,1,2492.97,created
26,3Bb57098C6a9743,2025-03-29,Laptop,Electronics,5,1197.04,shipped
27,A9148ca7e8C4BBA,2025-12-28,Sneakers,Clothing,4,1981.69,paid
28,d69e7e4ABF0Fd15,2024-06-13,Jeans,Clothing,3,210.84,shipped
29,121bb0E4D1e19f3,2026-01-03,T-Shirt,Clothing,3,991.72,paid
30,Ef83437FF6cEfdc,2025-09-17,T-Shirt,Clothing,4,2729.63,cancelled
31,01dBdF24b6cb4f0,2025-10-13,Sneakers,Clothing,3,648.73,paid
32,F69037FaCc0fc1d,2024-06-14,Python Book,Books,1,2237.55,paid
33,52E01CCCA1Fc59E,2025-09-29,Machine Learning,Books,4,1210.9,cancelled
34,EeB6BE5cdc99AbF,2026-04-26,Monitor,Electronics,2,1642.25,shipped
35,2dD9120f2904d15,2025-05-23,Jeans,Clothing,5,2693.99,created
36,1AD33a4FD830d36,2025-05-22,Keyboard,Electronics,3,2161.22,created
37,BFBbd9A06e7D76E,2024-07-20,Jeans,Clothing,4,2954.56,delivered
38,b41Cbeb3Edc1055,2025-02-16,SQL Guide,Books,5,1498.87,paid
39,Ba68DCcFF7f5da6,2025-10-09,Sneakers,Clothing,1,2973.78,shipped
40,E7E5CC790DEeAFE,2025-09-05,Jeans,Clothing,3,824.94,delivered
41,feDF54FFB266Dd3,2024-10-18,Keyboard,Electronics,2,1369.49,delivered
42,e24f6Ed19c7FeDD,2025-10-10,Jeans,Clothing,5,1388.39,shipped
43,B0cfcDdf06D0B31,2024-12-19,Jeans,Clothing,1,2453.67,shipped
44,fd3a5ca77fbEdB9,2025-07-05,Data Engineering,Books,4,2799.97,cancelled
45,bDbdcAcCCea109F,2026-05-02,Keyboard,Electronics,4,1356.4,delivered
46,6Fa28843ebdBF9F,2026-01-29,Data Engineering,Books,4,63.65,cancelled
47,ebFb2A59ebfFe8D,2025-10-10,SQL Guide,Books,1,2359.4,delivered
48,b59CeDBF4bE4BaD,2025-09-02,T-Shirt,Clothing,1,789.38,delivered
49,5acF5329e1Af375,2025-02-15,Python Book,Books,1,500.54,delivered
50,9070bBBEd4CCD0D,2025-12-30,Machine Learning,Books,3,884.23,delivered
51,2caCBbEB7aab54a,2025-12-18,Jeans,Clothing,3,330.69,shipped
52,964eB6D72BeEabC,2024-06-29,Jacket,Clothing,4,982.64,paid
53,fD3f7676bb631B8,2024-12-05,iPhone,Electronics,3,2711.39,created
54,82d58B1e53FC8bB,2025-03-16,Data Engineering,Books,2,1268.93,paid
55,Bfeb7a976D01BdA,2024-12-07,Jacket,Clothing,4,1552.69,created
56,62BCF1bFFd0E27f,2025-11-05,SQL Guide,Books,2,2425.89,created
57,6fA0DEfAcaa3e1b,2024-11-02,Jacket,Clothing,2,2285.07,paid
58,163b39F75ccc4Af,2025-06-17,iPhone,Electronics,4,630.73,delivered
59,AFfF19d35aFb5fc,2024-08-18,Jacket,Clothing,5,2028.87,shipped
60,Ba4cdbC217b0c3C,2025-01-05,Sneakers,Clothing,3,1164.13,created
61,8ABAD8cAdbE5988,2024-08-17,Monitor,Electronics,1,743.92,delivered
62,B6FC004dA243AF4,2026-01-09,T-Shirt,Clothing,5,804.57,created
63,6eEa6EbfCfE150F,2024-10-09,Machine Learning,Books,2,62.21,delivered
64,DDe331A8cC65280,2025-10-21,SQL Guide,Books,2,1946.92,paid
65,4Efc9DBb60EfDce,2025-10-26,Data Engineering,Books,2,2795.88,paid
66,DAb2462f7aEbffB,2026-04-12,Keyboard,Electronics,5,900.52,delivered
67,EE754fcC72c0d4D,2026-04-29,Monitor,Electronics,3,826.43,created
68,32CA62a344d1e1C,2025-07-16,Python Book,Books,2,257.55,cancelled
69,0705FeC4e3FB6Bc,2026-04-07,Data Engineering,Books,2,728.15,delivered
70,F8B27004a51f8bF,2025-02-27,Python Book,Books,4,724.78,shipped
71,fA2F98A64CEBF1b,2025-12-13,Jeans,Clothing,3,2952.43,shipped
72,138C71Dd0620744,2025-03-19,Keyboard,Electronics,3,2724.4,created
73,72Df28060f5d6B4,2025-08-15,Jacket,Clothing,2,1155.68,delivered
74,dDD2ba3aa36aaf0,2025-09-02,iPhone,Electronics,5,2858.73,paid
75,42eB5d7a868247b,2024-06-12,Monitor,Electronics,2,289.52,paid
76,84edeADAa6f4bA0,2025-11-23,Sneakers,Clothing,2,1248.62,paid
77,1cCB16AE706c9a6,2024-09-16,Headphones,Electronics,5,2826.4,delivered
78,cF3C1DcAE3bcF8d,2025-08-01,Jacket,Clothing,1,1723.35,delivered
79,84C78F98416A3A0,2025-05-17,Keyboard,Electronics,2,2432.64,shipped
80,4FAe1eB96b1CE4b,2024-05-20,SQL Guide,Books,5,2102.35,cancelled
81,ACaAEdD3Aaddf33,2026-05-01,T-Shirt,Clothing,2,59.41,created
82,C8958edFcfeA7d3,2025-11-04,SQL Guide,Books,5,1135.08,cancelled
83,6EBe1e1C8f6EDfC,2025-06-07,SQL Guide,Books,3,940.44,created
84,61C6bF9e6ffc4Af,2025-01-08,Python Book,Books,2,86.72,created
85,81fF0c0A21F6d68,2024-06-14,Python Book,Books,5,956.71,delivered
86,EA34EcF614FF7fa,2025-02-24,Data Engineering,Books,5,1774.53,shipped
87,babA3ab7ADED12A,2025-06-23,Headphones,Electronics,1,2560.0,delivered
88,aBeC6Dc5aF704e7,2026-03-19,Keyboard,Electronics,5,29.14,paid
89,CeA5D861Dae543A,2025-05-07,Laptop,Electronics,3,406.72,paid
90,C5Af54cbE6Dd6aF,2025-09-18,SQL Guide,Books,5,399.92,paid
91,cdE062Dde0c89C4,2024-12-31,iPhone,Electronics,1,2795.43,paid
92,0aF0eD54E9D3cFa,2026-02-15,Jeans,Clothing,1,1904.55,created
93,9e662A5e26aac3C,2025-05-05,Data Engineering,Books,5,2926.99,paid
94,1bE90D35bcf0c17,2025-08-18,Jacket,Clothing,3,854.66,created
95,02ee9DC86Ce9c79,2024-12-04,Jeans,Clothing,4,1217.2,delivered
96,f1a95c2cbbAbd13,2025-08-29,Headphones,Electronics,1,1541.01,shipped
97,2cEc3faBcF56d5e,2025-06-15,SQL Guide,Books,1,1166.87,cancelled
98,ef3B41f50EeAeCA,2024-05-24,Machine Learning,Books,2,2481.42,cancelled
99,9285D4257150323,2025-10-09,Laptop,Electronics,4,248.13,created
100,CDc0AbA1C5DF2e3,2025-11-15,Keyboard,Electronics,1,1789.87,created
101,e23AD75D588FFFA,2024-11-05,Sneakers,Clothing,4,2604.44,shipped
102,F2FAaa81466f59c,2025-10-14,SQL Guide,Books,5,85.97,delivered
103,2803BdAE88cFB2A,2026-03-28,Python Book,Books,1,2958.21,cancelled
104,2ACaA0baa786Bca,2025-03-22,Python Book,Books,2,1799.84,shipped
105,c5A22ed0Fe7A1E4,2026-03-10,Data Engineering,Books,4,1395.2,cancelled
106,7025B6f3C945CDc,2025-12-19,Jacket,Clothing,1,2067.13,delivered
107,E1DEE3d28ea343C,2025-05-18,Monitor,Electronics,1,643.65,paid
108,A1B7bFa4df57B5a,2025-03-25,Python Book,Books,3,2637.62,delivered
109,4E2012FF32A19a8,2025-12-31,Monitor,Electronics,2,2814.26,paid
110,98020cB3A1f8Ecb,2024-10-18,Machine Learning,Books,3,543.33,shipped
111,FCE103Ef8C1A4f3,2026-04-06,Machine Learning,Books,4,2758.06,delivered
112,0d5689A3A51Ff3d,2024-05-25,Headphones,Electronics,2,2540.72,delivered
113,e642c29A7CC842b,2026-02-06,Headphones,Electronics,2,103.43,paid
114,B97BE6D7BCaF22D,2024-10-18,Headphones,Electronics,3,2753.41,paid
115,Fc18aFCe1BCfC9d,2025-02-28,Jacket,Clothing,2,926.07,created
116,0AeDADf636deE82,2025-02-26,Machine Learning,Books,2,2613.84,delivered
117,F60DBEdDaCBaA1d,2025-02-21,Keyboard,Electronics,4,2611.29,cancelled
118,1aA10dd1C0f9C09,2025-02-27,Data Engineering,Books,5,914.11,paid
119,CEf0Ef6cEDbEaBA,2026-04-22,Machine Learning,Books,1,1771.79,delivered
120,8e75Fd47d591fAe,2026-04-02,Keyboard,Electronics,3,1712.79,shipped
121,b8Bc2Cbba4FC4a0,2025-03-30,Data Engineering,Books,3,1965.24,delivered
122,eAFc0bDEf37885a,2025-12-28,Headphones,Electronics,1,217.62,cancelled
123,2D69B6c552e0897,2024-11-26,Machine Learning,Books,5,807.45,paid
124,1fF4dD2FC1f2962,2024-11-07,Jacket,Clothing,1,2821.09,shipped
125,c7F20ec2A6f591D,2026-03-07,Headphones,Electronics,1,681.48,created
126,FaDB308FaE411cd,2026-01-30,Monitor,Electronics,2,2320.69,paid
127,DC7D5DC8ff6Ea27,2026-04-12,Machine Learning,Books,2,968.15,shipped
128,e8e68BcFA2CDA2b,2026-04-27,Laptop,Electronics,2,946.94,delivered
129,5D3439208Ee1CEa,2024-06-21,Laptop,Electronics,4,1983.86,paid
130,78e33FbbcA3bDaB,2025-06-15,SQL Guide,Books,1,1117.84,created
131,267EEbb3a43A78b,2024-06-24,Python Book,Books,1,1749.37,cancelled
132,335FecbE97A0Dc1,2025-12-23,T-Shirt,Clothing,4,992.66,cancelled
133,aba2d0b3eaB15a4,2025-02-02,Jacket,Clothing,1,2633.41,paid
134,8Dd0828F40bbb67,2024-12-28,Data Engineering,Books,2,1076.8,created
135,de867E4f1a9C6d4,2024-09-01,Machine Learning,Books,4,2246.0,cancelled
136,ADD02feFd7bbD46,2025-03-29,Python Book,Books,3,2466.69,paid
137,49E0453800aCbE0,2026-04-01,Headphones,Electronics,4,1737.96,cancelled
138,EdC8DCDd72b625f,2025-07-29,Python Book,Books,4,2419.41,shipped
139,c1c9a2Bc517F4BD,2025-09-28,SQL Guide,Books,1,2918.5,delivered
140,cD8E5C5AF3aa877,2024-11-16,Data Engineering,Books,5,1114.35,delivered
141,0adceA5bb4b97E1,2025-11-03,SQL Guide,Books,4,1321.74,cancelled
142,4aaC25E9C60d60B,2026-02-15,Machine Learning,Books,2,1045.73,shipped
143,dC6b80ddAEf7AC4,2024-11-23,Sneakers,Clothing,3,67.9,cancelled
144,af6Cd91ACF2a685,2024-08-16,Sneakers,Clothing,4,2315.5,cancelled
145,D734Ab413AcCC51,2025-03-15,Sneakers,Clothing,1,753.78,delivered
146,4e8Ab04ea6E0E6D,2024-09-18,Jeans,Clothing,5,2884.46,delivered
147,daEBf08A160d0CE,2024-12-24,Jacket,Clothing,4,865.13,paid
148,fAAe7d6fbA0DE7c,2025-11-30,Headphones,Electronics,3,196.86,cancelled
149,8bE9F6890Ec09dF,2024-10-29,T-Shirt,Clothing,4,2219.28,paid
150,EF5D6f6c9fF21c1,2024-06-25,iPhone,Electronics,3,203.44,created
151,afEdb4BEA2801d3,2025-04-25,Jacket,Clothing,1,1381.02,created
152,8bC2Dc6BE322bfC,2024-05-26,Jacket,Clothing,2,1524.0,shipped
153,6E681ef22187BF5,2025-06-20,Machine Learning,Books,5,2956.7,paid
154,4eECC69e80BCDEe,2025-06-26,Headphones,Electronics,3,799.24,cancelled
155,2D70eB3ceA1E42f,2026-01-18,Headphones,Electronics,4,2255.51,created
156,9b102Dc9Ab8bA5C,2024-09-30,Jeans,Clothing,4,1726.6,delivered
157,b479FfcCa76AE8D,2026-01-17,Headphones,Electronics,2,2494.95,delivered
